number,timestamp,src_ip,dst_ip,protocol,src_port,dst_port,seq,length
125,2018-12-22 01:06:17.845626,104.248.160.24,192.168.1.196,TCP,80,59934,65161,1514
126,2018-12-22 01:06:17.845873,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
127,2018-12-22 01:06:17.857618,104.248.160.24,192.168.1.196,TCP,80,59934,81089,1514
128,2018-12-22 01:06:17.857866,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
129,2018-12-22 01:06:17.869611,104.248.160.24,192.168.1.196,TCP,80,59934,83985,1514
130,2018-12-22 01:06:17.869859,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
131,2018-12-22 01:06:17.881604,104.248.160.24,192.168.1.196,TCP,80,59934,82537,1514
132,2018-12-22 01:06:17.881852,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
133,2018-12-22 01:06:17.893597,104.248.160.24,192.168.1.196,TCP,80,59934,85433,1514
134,2018-12-22 01:06:17.893845,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
135,2018-12-22 01:06:17.905591,104.248.160.24,192.168.1.196,TCP,80,59934,86881,1514
136,2018-12-22 01:06:17.905838,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
137,2018-12-22 01:06:17.917583,104.248.160.24,192.168.1.196,TCP,80,59934,88329,1514
138,2018-12-22 01:06:17.917831,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
139,2018-12-22 01:06:17.929579,104.248.160.24,192.168.1.196,TCP,80,59934,89777,1514
140,2018-12-22 01:06:17.929825,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
141,2018-12-22 01:06:17.941570,104.248.160.24,192.168.1.196,TCP,80,59934,91225,1514
142,2018-12-22 01:06:17.941818,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
143,2018-12-22 01:06:17.953563,104.248.160.24,192.168.1.196,TCP,80,59934,92673,1514
144,2018-12-22 01:06:17.953811,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
145,2018-12-22 01:06:17.965555,104.248.160.24,192.168.1.196,TCP,80,59934,94121,1514
146,2018-12-22 01:06:17.965804,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
147,2018-12-22 01:06:17.977550,104.248.160.24,192.168.1.196,TCP,80,59934,95569,1514
148,2018-12-22 01:06:17.977797,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
149,2018-12-22 01:06:17.989542,104.248.160.24,192.168.1.196,TCP,80,59934,97017,1514
150,2018-12-22 01:06:17.989790,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
151,2018-12-22 01:06:18.001536,104.248.160.24,192.168.1.196,TCP,80,59934,98465,1514
152,2018-12-22 01:06:18.001783,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
153,2018-12-22 01:06:18.013530,104.248.160.24,192.168.1.196,TCP,80,59934,99913,1514
154,2018-12-22 01:06:18.013777,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
155,2018-12-22 01:06:18.037769,104.248.160.24,192.168.1.196,TCP,80,59934,101361,2962
156,2018-12-22 01:06:18.038013,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
157,2018-12-22 01:06:18.038263,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
158,2018-12-22 01:06:18.049759,104.248.160.24,192.168.1.196,TCP,80,59934,104257,1514
159,2018-12-22 01:06:18.050006,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
160,2018-12-22 01:06:18.061501,104.248.160.24,192.168.1.196,TCP,80,59934,105705,1514
161,2018-12-22 01:06:18.061749,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
162,2018-12-22 01:06:18.073494,104.248.160.24,192.168.1.196,TCP,80,59934,108601,1514
163,2018-12-22 01:06:18.073992,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
164,2018-12-22 01:06:18.085488,104.248.160.24,192.168.1.196,TCP,80,59934,107153,1514
165,2018-12-22 01:06:18.085985,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
166,2018-12-22 01:06:18.097480,104.248.160.24,192.168.1.196,TCP,80,59934,110049,1514
167,2018-12-22 01:06:18.097978,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
168,2018-12-22 01:06:18.120966,104.248.160.24,192.168.1.196,TCP,80,59934,111497,1514
169,2018-12-22 01:06:18.121215,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
170,2018-12-22 01:06:18.121716,104.248.160.24,192.168.1.196,TCP,80,59934,112945,1514
171,2018-12-22 01:06:18.121965,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
172,2018-12-22 01:06:18.147202,104.248.160.24,192.168.1.196,TCP,80,59934,114393,1514
173,2018-12-22 01:06:18.147210,104.248.160.24,192.168.1.196,TCP,80,59934,115841,1514
174,2018-12-22 01:06:18.147450,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
175,2018-12-22 01:06:18.147700,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
176,2018-12-22 01:06:18.158445,104.248.160.24,192.168.1.196,TCP,80,59934,117289,1514
177,2018-12-22 01:06:18.158694,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
178,2018-12-22 01:06:18.170192,104.248.160.24,192.168.1.196,TCP,80,59934,118737,773
179,2018-12-22 01:06:18.170687,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
180,2018-12-22 01:06:18.191176,104.248.160.24,192.168.1.196,TCP,80,59934,119445,66
181,2018-12-22 01:06:18.210914,192.168.1.196,104.248.160.24,TCP,59936,80,0,74
182,2018-12-22 01:06:19.241328,192.168.1.196,104.248.160.24,TCP,59936,80,0,74
183,2018-12-22 01:06:21.321390,192.168.1.196,104.248.160.24,TCP,59936,80,0,74
184,2018-12-22 01:06:25.401316,192.168.1.196,104.248.160.24,TCP,59936,80,0,74
185,2018-12-22 01:06:33.481455,192.168.1.196,104.248.160.24,TCP,59936,80,0,74
186,2018-12-22 01:06:50.121466,192.168.1.196,104.248.160.24,TCP,59936,80,0,74
187,2018-12-22 01:07:22.761355,192.168.1.196,104.248.160.24,TCP,59936,80,0,74
188,2018-12-22 01:08:29.042053,192.168.1.196,104.248.160.24,TCP,59938,80,0,74
189,2018-12-22 01:08:30.121436,192.168.1.196,104.248.160.24,TCP,59938,80,0,74
190,2018-12-22 01:08:32.201266,192.168.1.196,104.248.160.24,TCP,59938,80,0,74
191,2018-12-22 01:08:36.281423,192.168.1.196,104.248.160.24,TCP,59938,80,0,74
192,2018-12-22 01:08:44.681389,192.168.1.196,104.248.160.24,TCP,59938,80,0,74
193,2018-12-22 01:09:01.321902,192.168.1.196,104.248.160.24,TCP,59938,80,0,74
194,2018-12-22 01:09:33.961536,192.168.1.196,104.248.160.24,TCP,59938,80,0,74
195,2018-12-22 01:09:33.983273,104.248.160.24,192.168.1.196,TCP,80,59938,0,74
196,2018-12-22 01:09:33.983527,192.168.1.196,104.248.160.24,TCP,59938,80,1,66
197,2018-12-22 01:09:33.983773,192.168.1.196,104.248.160.24,TCP,59938,80,1,215
198,2018-12-22 01:09:34.005516,104.248.160.24,192.168.1.196,TCP,80,59938,1,66
199,2018-12-22 01:09:34.025504,104.248.160.24,192.168.1.196,TCP,80,59938,1,1514
200,2018-12-22 01:09:34.025758,104.248.160.24,192.168.1.196,TCP,80,59938,2897,1514
201,2018-12-22 01:09:34.026161,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
202,2018-12-22 01:09:34.026172,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
203,2018-12-22 01:09:34.037171,104.248.160.24,192.168.1.196,TCP,80,59938,1449,1514
204,2018-12-22 01:09:34.037501,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
205,2018-12-22 01:09:34.049299,104.248.160.24,192.168.1.196,TCP,80,59938,5793,1514
206,2018-12-22 01:09:34.049488,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
207,2018-12-22 01:09:34.064985,104.248.160.24,192.168.1.196,TCP,80,59938,4345,1514
208,2018-12-22 01:09:34.065479,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
209,2018-12-22 01:09:34.072981,104.248.160.24,192.168.1.196,TCP,80,59938,10137,1514
210,2018-12-22 01:09:34.073471,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
211,2018-12-22 01:09:34.085226,104.248.160.24,192.168.1.196,TCP,80,59938,7241,1514
212,2018-12-22 01:09:34.085715,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
213,2018-12-22 01:09:34.097219,104.248.160.24,192.168.1.196,TCP,80,59938,11585,1514
214,2018-12-22 01:09:34.097708,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
215,2018-12-22 01:09:34.109216,104.248.160.24,192.168.1.196,TCP,80,59938,8689,1514
216,2018-12-22 01:09:34.109711,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
217,2018-12-22 01:09:34.125447,104.248.160.24,192.168.1.196,TCP,80,59938,13033,1514
218,2018-12-22 01:09:34.125950,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
219,2018-12-22 01:09:34.133194,104.248.160.24,192.168.1.196,TCP,80,59938,14481,1514
220,2018-12-22 01:09:34.133443,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
221,2018-12-22 01:09:34.145185,104.248.160.24,192.168.1.196,TCP,80,59938,15929,1514
222,2018-12-22 01:09:34.145685,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
223,2018-12-22 01:09:34.166175,104.248.160.24,192.168.1.196,TCP,80,59938,18825,1514
224,2018-12-22 01:09:34.166673,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
225,2018-12-22 01:09:34.172417,104.248.160.24,192.168.1.196,TCP,80,59938,17377,1514
226,2018-12-22 01:09:34.172916,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
227,2018-12-22 01:09:34.183665,104.248.160.24,192.168.1.196,TCP,80,59938,21721,1514
228,2018-12-22 01:09:34.183916,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
229,2018-12-22 01:09:34.193160,104.248.160.24,192.168.1.196,TCP,80,59938,23169,1514
230,2018-12-22 01:09:34.193653,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
231,2018-12-22 01:09:34.205407,104.248.160.24,192.168.1.196,TCP,80,59938,24617,1514
232,2018-12-22 01:09:34.205900,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
233,2018-12-22 01:09:34.217164,104.248.160.24,192.168.1.196,TCP,80,59938,27513,1514
234,2018-12-22 01:09:34.217640,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
235,2018-12-22 01:09:34.228901,104.248.160.24,192.168.1.196,TCP,80,59938,30409,1514
236,2018-12-22 01:09:34.229387,192.168.1.196,104.248.160.24,TCP,59938,80,150,94
237,2018-12-22 01:09:34.241132,104.248.160.24,192.168.1.196,TCP,80,59938,31857,1514
238,2018-12-22 01:09:34.241384,192.168.1.196,104.248.160.24,TCP,59938,80,150,94
239,2018-12-22 01:09:34.253122,104.248.160.24,192.168.1.196,TCP,80,59938,33305,1514
240,2018-12-22 01:09:34.253627,192.168.1.196,104.248.160.24,TCP,59938,80,150,94
241,2018-12-22 01:09:34.265712,192.168.1.196,104.248.160.24,TCP,59938,80,150,94
242,2018-12-22 01:09:34.265716,104.248.160.24,192.168.1.196,TCP,80,59938,34753,1514
243,2018-12-22 01:09:34.277454,104.248.160.24,192.168.1.196,TCP,80,59938,39097,1514
244,2018-12-22 01:09:34.277866,192.168.1.196,104.248.160.24,TCP,59938,80,150,94
245,2018-12-22 01:09:34.289604,104.248.160.24,192.168.1.196,TCP,80,59938,41993,1514
246,2018-12-22 01:09:34.290098,192.168.1.196,104.248.160.24,TCP,59938,80,150,94
247,2018-12-22 01:09:34.301593,104.248.160.24,192.168.1.196,TCP,80,59938,43441,1514
248,2018-12-22 01:09:34.302092,192.168.1.196,104.248.160.24,TCP,59938,80,150,94
249,2018-12-22 01:09:34.313839,104.248.160.24,192.168.1.196,TCP,80,59938,44889,1514
250,2018-12-22 01:09:34.314334,192.168.1.196,104.248.160.24,TCP,59938,80,150,94
251,2018-12-22 01:09:34.353815,104.248.160.24,192.168.1.196,TCP,80,59938,49233,1514
252,2018-12-22 01:09:34.354071,104.248.160.24,192.168.1.196,TCP,80,59938,20273,1514
253,2018-12-22 01:09:34.354311,192.168.1.196,104.248.160.24,TCP,59938,80,150,94
254,2018-12-22 01:09:34.354563,192.168.1.196,104.248.160.24,TCP,59938,80,150,94
255,2018-12-22 01:09:34.365309,104.248.160.24,192.168.1.196,TCP,80,59938,50681,1514
256,2018-12-22 01:09:34.365806,192.168.1.196,104.248.160.24,TCP,59938,80,150,94
257,2018-12-22 01:09:34.377304,104.248.160.24,192.168.1.196,TCP,80,59938,26065,1514
258,2018-12-22 01:09:34.377800,192.168.1.196,104.248.160.24,TCP,59938,80,150,94
259,2018-12-22 01:09:34.389545,104.248.160.24,192.168.1.196,TCP,80,59938,28961,1514
260,2018-12-22 01:09:34.390042,192.168.1.196,104.248.160.24,TCP,59938,80,150,94
261,2018-12-22 01:09:34.401538,104.248.160.24,192.168.1.196,TCP,80,59938,52129,1514
262,2018-12-22 01:09:34.402035,192.168.1.196,104.248.160.24,TCP,59938,80,150,94
263,2018-12-22 01:09:34.414032,104.248.160.24,192.168.1.196,TCP,80,59938,36201,1514
264,2018-12-22 01:09:34.414282,192.168.1.196,104.248.160.24,TCP,59938,80,150,94
265,2018-12-22 01:09:34.426021,104.248.160.24,192.168.1.196,TCP,80,59938,37649,1514
266,2018-12-22 01:09:34.426519,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
267,2018-12-22 01:09:34.438267,104.248.160.24,192.168.1.196,TCP,80,59938,53577,1514
268,2018-12-22 01:09:34.438517,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
269,2018-12-22 01:09:34.450261,104.248.160.24,192.168.1.196,TCP,80,59938,40545,1514
270,2018-12-22 01:09:34.450510,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
271,2018-12-22 01:09:34.462503,104.248.160.24,192.168.1.196,TCP,80,59938,56473,1514
272,2018-12-22 01:09:34.462760,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
273,2018-12-22 01:09:34.474497,104.248.160.24,192.168.1.196,TCP,80,59938,57921,1514
274,2018-12-22 01:09:34.474747,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
275,2018-12-22 01:09:34.486487,104.248.160.24,192.168.1.196,TCP,80,59938,46337,1514
276,2018-12-22 01:09:34.486987,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
277,2018-12-22 01:09:34.498734,104.248.160.24,192.168.1.196,TCP,80,59938,59369,1514
278,2018-12-22 01:09:34.499233,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
279,2018-12-22 01:09:34.510728,104.248.160.24,192.168.1.196,TCP,80,59938,60817,1514
280,2018-12-22 01:09:34.511232,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
281,2018-12-22 01:09:34.522973,104.248.160.24,192.168.1.196,TCP,80,59938,62265,1514
282,2018-12-22 01:09:34.523223,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
283,2018-12-22 01:09:34.534964,104.248.160.24,192.168.1.196,TCP,80,59938,47785,1514
284,2018-12-22 01:09:34.535215,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
285,2018-12-22 01:09:34.546958,104.248.160.24,192.168.1.196,TCP,80,59938,65161,1514
286,2018-12-22 01:09:34.547455,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
287,2018-12-22 01:09:34.569695,104.248.160.24,192.168.1.196,TCP,80,59938,66609,1514
288,2018-12-22 01:09:34.571438,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
289,2018-12-22 01:09:34.571443,104.248.160.24,192.168.1.196,TCP,80,59938,68057,1514
290,2018-12-22 01:09:34.572941,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
